day,Acorn,energy_sum
2012-03-01,0,303.1980003
2012-03-02,0,327.2719996
2012-03-03,0,361.3210001
2012-03-04,0,402.0260003
2012-03-05,0,345.4979996
2012-03-06,0,355.0879997
2012-03-07,0,360.5499999
2012-03-08,0,353.05400000000003
2012-03-09,0,363.34899989999997
2012-03-10,0,387.9460002
2012-03-11,0,403.48200030000004
2012-03-12,0,373.2260001
2012-03-13,0,369.6230002
2012-03-14,0,376.35599920000004
2012-03-15,0,391.8070003
2012-03-16,0,403.7469994
2012-03-17,0,445.4520009
2012-03-18,0,440.8619996
2012-03-19,0,376.16299990000005
2012-03-20,0,407.9420002
2012-03-21,0,415.89300000000003
2012-03-22,0,403.3570001
2012-03-23,0,475.3750001
2012-03-24,0,528.4300000000001
2012-03-25,0,542.0739998
2012-03-26,0,485.6139997
2012-03-27,0,483.34400020000004
2012-03-28,0,460.5499997
2012-03-29,0,482.508
2012-03-30,0,447.2290006
2012-03-31,0,508.8550014
2012-04-01,0,517.8890008
2012-04-02,0,491.56399880000004
2012-04-03,0,530.0479998000001
2012-04-04,0,530.2370002
2012-04-05,0,547.0550000000001
2012-04-06,0,532.2600007
2012-04-07,0,556.5610005
2012-04-08,0,568.587
2012-04-09,0,586.8449997
2012-04-10,0,530.9840009000001
2012-04-11,0,576.138
2012-04-12,0,716.2100007
2012-04-13,0,754.2520010999999
2012-04-14,0,696.6380001000001
2012-04-15,0,783.8840011000001
2012-04-16,0,726.3129996
2012-04-17,0,780.6490002
2012-04-18,0,805.6810002
2012-04-19,0,776.1739995
2012-04-20,0,791.0279997
2012-04-21,0,760.0470005999999
2012-04-22,0,819.1899999999999
2012-04-23,0,840.6050005
2012-04-24,0,813.3650008000001
2012-04-25,0,875.8399997
2012-04-26,0,747.2859989
2012-04-27,0,773.2300001
2012-04-28,0,1002.0390006
2012-04-29,0,976.5749998
2012-04-30,0,859.7309995
2012-05-01,0,838.4820013
2012-05-02,0,850.3379992
2012-05-03,0,881.6230001
2012-05-04,0,893.0760008
2012-05-05,0,976.7839991
2012-05-06,0,972.6670004
2012-05-07,0,1005.0640001
2012-05-08,0,830.5860003
2012-05-09,0,856.1090003
2012-05-10,0,900.1419995
2012-05-11,0,807.5969998
2012-05-12,0,826.631
2012-05-13,0,906.8050000000001
2012-05-14,0,690.2930001
2012-05-15,0,993.6329999000001
2012-05-16,0,866.3639999000001
2012-05-17,0,917.5520009
2012-05-18,0,1046.3760007
2012-05-19,0,978.1090001
2012-05-20,0,1121.6890002
2012-05-21,0,1021.6659988
2012-05-22,0,1023.7420013
2012-05-23,0,908.9030011
2012-05-24,0,920.6079999000001
2012-05-25,0,776.0929991
2012-05-26,0,1017.1440003
2012-05-27,0,1148.9599995
2012-05-28,0,1122.5730011
2012-05-29,0,995.0869997
2012-05-30,0,1097.1130001
2012-05-31,0,1157.481
2012-06-01,0,1191.1729995
2012-06-02,0,1279.1869994
2012-06-03,0,1484.1159997
2012-06-04,0,1274.5549993
2012-06-05,0,1410.528
2012-06-06,0,1254.1409987
2012-06-07,0,1329.7999987
2012-06-08,0,1390.3210014
2012-06-09,0,1387.9170000000001
2012-06-10,0,1417.6109999
2012-06-11,0,1576.9129997
2012-06-12,0,1510.3479996
2012-06-13,0,1132.2739996
2012-06-14,0,1080.4820006
2012-06-15,0,981.1809997
2012-06-16,0,1019.7200004
2012-06-17,0,1277.6170004
2012-06-18,0,1337.311001
2012-06-19,0,1332.0219996
2012-06-20,0,1380.3680013
2012-06-21,0,1446.5949998
2012-06-22,0,1424.0719999
2012-06-23,0,1457.4309997
2012-06-24,0,1557.8610006000001
2012-06-25,0,1357.8470001
2012-06-26,0,1361.003
2012-06-27,0,1391.810999
2012-06-28,0,1380.0870003
2012-06-29,0,1324.4500004000001
2012-06-30,0,1328.2200002
2012-07-01,0,1451.0540004
2012-07-02,0,1494.512
2012-07-03,0,1496.5370013
2012-07-04,0,1429.2089995000001
2012-07-05,0,1375.9379991
2012-07-06,0,1398.3300005
2012-07-07,0,1406.2499986
2012-07-08,0,1566.6750002
2012-07-09,0,1446.7900002000001
2012-07-10,0,1442.9490004000002
2012-07-11,0,1543.7479998000001
2012-07-12,0,1612.517999
2012-07-13,0,1556.2719991000001
2012-07-14,0,1719.8530004000002
2012-07-15,0,1675.2930003000001
2012-07-16,0,1682.1850008000001
2012-07-17,0,1650.2690003999999
2012-07-18,0,1598.723
2012-07-19,0,1678.1740002000001
2012-07-20,0,1527.7880007
2012-07-21,0,1654.7930001
2012-07-22,0,1635.4869982
2012-07-23,0,1572.444
2012-07-24,0,1463.6350003
2012-07-25,0,1531.507
2012-07-26,0,1529.2760008
2012-07-27,0,1611.0590006
2012-07-28,0,1621.5890003000002
2012-07-29,0,1721.5389981
2012-07-30,0,1613.1490015
2012-07-31,0,1708.3129999999999
2012-08-01,0,1582.9279997
2012-08-02,0,1564.4580003
2012-08-03,0,1576.8879993
2012-08-04,0,1559.9339992
2012-08-05,0,1690.1100012
2012-08-06,0,1672.3449999000002
2012-08-07,0,1724.1670005
2012-08-08,0,1628.8140011
2012-08-09,0,1555.5280004
2012-08-10,0,1555.3250005
2012-08-11,0,1628.9419994
2012-08-12,0,1645.6870002
