day,Acorn,energy_sum
2012-03-01,3,784.1240001
2012-03-02,3,898.9679999
2012-03-03,3,963.7530002
2012-03-04,3,1046.3520002
2012-03-05,3,910.9649998
2012-03-06,3,1011.0369999
2012-03-07,3,969.2629993
2012-03-08,3,923.9319998
2012-03-09,3,966.0029994
2012-03-10,3,894.5840006
2012-03-11,3,923.3500008
2012-03-12,3,918.6559999000001
2012-03-13,3,954.8270004999999
2012-03-14,3,986.0590003
2012-03-15,3,936.2249999
2012-03-16,3,1052.3869993
2012-03-17,3,1159.4170007
2012-03-18,3,1163.0699992
2012-03-19,3,944.4340002
2012-03-20,3,1053.046
2012-03-21,3,1123.0700007
2012-03-22,3,1003.0269998
2012-03-23,3,1084.0260004
2012-03-24,3,1109.8210011
2012-03-25,3,1149.4169998000002
2012-03-26,3,1083.189
2012-03-27,3,1066.7119995
2012-03-28,3,1082.5320001
2012-03-29,3,1008.9570001000001
2012-03-30,3,1029.0249996
2012-03-31,3,1158.6699999
2012-04-01,3,1171.4330002000002
2012-04-02,3,1090.3099987
2012-04-03,3,1168.1760011
2012-04-04,3,1092.0669995
2012-04-05,3,1228.2919987
2012-04-06,3,1186.9210012
2012-04-07,3,1197.0219996
2012-04-08,3,1202.3799991
2012-04-09,3,1208.3679995
2012-04-10,3,1128.8510001
2012-04-11,3,1198.6639991
2012-04-12,3,1154.6020007
2012-04-13,3,1217.5300007
2012-04-14,3,1226.4940001
2012-04-15,3,1292.1390000000001
2012-04-16,3,1282.4050005000001
2012-04-17,3,1324.9449996
2012-04-18,3,1333.7880005
2012-04-19,3,1351.3550014
2012-04-20,3,1340.9059987
2012-04-21,3,1283.6579994
2012-04-22,3,1442.0990008
2012-04-23,3,1357.1590006
2012-04-24,3,1398.6759997000001
2012-04-25,3,1473.3279996
2012-04-26,3,1404.733
2012-04-27,3,1474.1370001
2012-04-28,3,1728.2990003
2012-04-29,3,1870.357
2012-04-30,3,1509.7889997
2012-05-01,3,1523.4880008
2012-05-02,3,1595.5879996
2012-05-03,3,1860.8209995
2012-05-04,3,1849.8729996
2012-05-05,3,1966.6319991
2012-05-06,3,2030.1400008
2012-05-07,3,1990.2179999
2012-05-08,3,1806.2659991
2012-05-09,3,1939.7209996
2012-05-10,3,1957.2869991
2012-05-11,3,1843.9319997
2012-05-12,3,1842.0740001
2012-05-13,3,1956.1400005
2012-05-14,3,1946.7189999
2012-05-15,3,2069.7270003
2012-05-16,3,1619.8339993
2012-05-17,3,1701.3329997
2012-05-18,3,2065.4799988
2012-05-19,3,2169.8359984
2012-05-20,3,2366.7860006
2012-05-21,3,2140.7120006
2012-05-22,3,2018.5930007000002
2012-05-23,3,2035.0660001
2012-05-24,3,2059.6639997
2012-05-25,3,1683.451
2012-05-26,3,2175.6910000000003
2012-05-27,3,2225.8909994
2012-05-28,3,2193.4240001
2012-05-29,3,2270.2500005
2012-05-30,3,2278.0369989
2012-05-31,3,2423.1689991
2012-06-01,3,2483.7039992
2012-06-02,3,2617.3559994
2012-06-03,3,2834.6510004
2012-06-04,3,2666.233001
2012-06-05,3,2743.1720014
2012-06-06,3,2512.3499999
