day,Acorn,energy_sum
2012-03-01,4,4255.9819994
2012-03-02,4,4494.7540013
2012-03-03,4,4663.4490005
2012-03-04,4,5155.5610007000005
2012-03-05,4,5007.5119986
2012-03-06,4,5221.1069982
2012-03-07,4,5236.2399954
2012-03-08,4,4976.0849966000005
2012-03-09,4,5047.8000019
2012-03-10,4,4877.2680013
2012-03-11,4,4938.4960005
2012-03-12,4,4566.0140005
2012-03-13,4,4639.2270006
2012-03-14,4,4750.1219995
2012-03-15,4,4790.2609999
2012-03-16,4,5178.3109994
2012-03-17,4,5342.4789992
2012-03-18,4,5543.6750026
2012-03-19,4,5155.5479968
2012-03-20,4,5064.650001
2012-03-21,4,5004.7069995
2012-03-22,4,4886.6019981
2012-03-23,4,4926.9939967
2012-03-24,4,4987.2709998
2012-03-25,4,5320.694002300001
2012-03-26,4,4973.4760003
2012-03-27,4,4840.6959993
2012-03-28,4,4823.3080014
2012-03-29,4,4805.3719998
2012-03-30,4,4738.2750005
2012-03-31,4,5445.0199975
2012-04-01,4,5562.2319986
2012-04-02,4,5388.4789974000005
2012-04-03,4,5529.2670004
2012-04-04,4,5689.0559999
2012-04-05,4,5849.3069999
2012-04-06,4,5926.8260018
2012-04-07,4,5688.0250004
2012-04-08,4,5797.4680001
2012-04-09,4,5958.094002
2012-04-10,4,5740.924
2012-04-11,4,5841.5229985000005
2012-04-12,4,5829.1509989
2012-04-13,4,5820.3010004
2012-04-14,4,6132.7230008
2012-04-15,4,6752.7609992
2012-04-16,4,6522.3470002
2012-04-17,4,6958.546999
2012-04-18,4,7231.1589997
2012-04-19,4,7398.1970013
2012-04-20,4,7185.6330013
2012-04-21,4,6889.5469994000005
2012-04-22,4,7589.6139977
2012-04-23,4,7521.006997500001
2012-04-24,4,7525.012998
2012-04-25,4,8105.7670005
2012-04-26,4,7698.0029989
2012-04-27,4,7480.6499991
2012-04-28,4,8443.6160002
2012-04-29,4,9142.1340001
2012-04-30,4,7425.9279993
2012-05-01,4,7556.6179983
2012-05-02,4,7683.5930017
2012-05-03,4,8565.4839989
2012-05-04,4,8935.9299997
2012-05-05,4,8794.3110037
2012-05-06,4,9262.7649949
2012-05-07,4,9259.8730016
2012-05-08,4,8306.2039969
2012-05-09,4,8906.4650008
2012-05-10,4,8615.9900003
2012-05-11,4,8344.1749996
2012-05-12,4,8874.0869985
2012-05-13,4,9205.8580008
2012-05-14,4,9062.5929984
2012-05-15,4,9698.8219979
2012-05-16,4,8503.3839992
2012-05-17,4,8424.6530006
2012-05-18,4,9473.6639985
2012-05-19,4,9443.906000500001
2012-05-20,4,10624.3030005
2012-05-21,4,9706.3120031
2012-05-22,4,9124.169999400001
2012-05-23,4,8977.2470004
2012-05-24,4,9050.404001500001
2012-05-25,4,7823.7569995
2012-05-26,4,9192.9959977
2012-05-27,4,9444.466997900001
2012-05-28,4,9225.4060019
2012-05-29,4,9382.6969978
2012-05-30,4,9311.8209996
2012-05-31,4,9623.3429994
2012-06-01,4,9729.6450022
2012-06-02,4,10127.4909979
2012-06-03,4,11261.2779999
2012-06-04,4,10915.8320005
2012-06-05,4,11444.9870006
2012-06-06,4,10511.2720026
2012-06-07,4,10903.4339963
2012-06-08,4,10830.267999400001
2012-06-09,4,10604.7380015
2012-06-10,4,11446.2189989
2012-06-11,4,12294.4680007
2012-06-12,4,12058.383
2012-06-13,4,9377.658997300001
2012-06-14,4,9081.7099994
2012-06-15,4,9144.9159977
2012-06-16,4,8780.6730013
2012-06-17,4,9658.8830041
2012-06-18,4,10977.8049995
2012-06-19,4,10844.118997
2012-06-20,4,10618.194996
2012-06-21,4,11092.3950019
2012-06-22,4,11236.397002
2012-06-23,4,11326.9309985
2012-06-24,4,11848.6519977
2012-06-25,4,11164.484999100001
2012-06-26,4,11033.227
2012-06-27,4,10967.3080004
2012-06-28,4,10529.984000100001
2012-06-29,4,10941.2329997
2012-06-30,4,10757.7940007
2012-07-01,4,11390.8350008
2012-07-02,4,11678.2009995
2012-07-03,4,11300.9960006
2012-07-04,4,10879.7270013
2012-07-05,4,10892.5319986
2012-07-06,4,11506.0319994
2012-07-07,4,11689.5399996
2012-07-08,4,12572.8580003
2012-07-09,4,12192.8669997
2012-07-10,4,12113.9869992
2012-07-11,4,12055.5339986
2012-07-12,4,12214.6619973
2012-07-13,4,12134.5189973
2012-07-14,4,12619.2340013
2012-07-15,4,12666.391001
2012-07-16,4,12906.6579965
2012-07-17,4,12237.3430009
2012-07-18,4,12526.1399998
2012-07-19,4,12254.8279988
2012-07-20,4,12304.893
2012-07-21,4,12135.1370017
2012-07-22,4,12289.0459984
2012-07-23,4,11865.594001700001
2012-07-24,4,11649.3370001
2012-07-25,4,11901.8509978
2012-07-26,4,11768.0740002
2012-07-27,4,12120.0950001
2012-07-28,4,11903.0709959
2012-07-29,4,12564.840001300001
2012-07-30,4,11847.5209995
2012-07-31,4,12134.5470002
2012-08-01,4,11941.5280014
2012-08-02,4,11647.8689983
2012-08-03,4,11838.1880014
2012-08-04,4,12048.625
2012-08-05,4,12729.1090002
2012-08-06,4,12183.0039973
2012-08-07,4,12134.2260002
2012-08-08,4,11781.4549998
2012-08-09,4,11553.7630009
2012-08-10,4,11669.1039994
2012-08-11,4,11712.6980012
2012-08-12,4,12325.0550007
2012-08-13,4,11926.940999600001
2012-08-14,4,11376.7700031
2012-08-15,4,11951.3860009
2012-08-16,4,11677.679998900001
2012-08-17,4,11245.2000001
2012-08-18,4,11565.7089994
2012-08-19,4,11950.6029995
2012-08-20,4,11796.3620021
2012-08-21,4,11565.7659994
2012-08-22,4,11510.4850001
2012-08-23,4,11498.2289974
2012-08-24,4,11506.1119995
2012-08-25,4,11883.1689975
2012-08-26,4,11583.718001000001
2012-08-27,4,12200.0349975
2012-08-28,4,11918.947998900001
2012-08-29,4,11679.605000900001
2012-08-30,4,12470.2849974
2012-08-31,4,12041.814999600001
2012-09-01,4,12143.018001800001
2012-09-02,4,13298.8299977
2012-09-03,4,12445.1269993
2012-09-04,4,12394.5060018
2012-09-05,4,12246.2970005
2012-09-06,4,11953.952000700001
2012-09-07,4,11965.7910008
2012-09-08,4,12168.593998800001
2012-09-09,4,12141.144999600001
2012-09-10,4,12896.316
2012-09-11,4,12328.6429977
2012-09-12,4,12706.983997000001
2012-09-13,4,12702.3010003
2012-09-14,4,12550.3949987
2012-09-15,4,12556.006000200001
2012-09-16,4,13517.7409976
2012-09-17,4,13223.140001
2012-09-18,4,12917.831999
2012-09-19,4,13200.394001800001
2012-09-20,4,12992.2950022
2012-09-21,4,13608.6700005
2012-09-22,4,13602.1969993
2012-09-23,4,16073.7130003
2012-09-24,4,14967.8249983
2012-09-25,4,14410.4570012
2012-09-26,4,14443.2539982
2012-09-27,4,14364.2639998
2012-09-28,4,14150.9159995
2012-09-29,4,14164.1690012
2012-09-30,4,15635.8530008
2012-10-01,4,14810.767001600001
2012-10-02,4,14612.1149989
2012-10-03,4,14472.442004
2012-10-04,4,14550.4390018
2012-10-05,4,14577.4620007
2012-10-06,4,14565.4780028
2012-10-07,4,15684.5029994
2012-10-08,4,15965.4449989
2012-10-09,4,15232.3339996
2012-10-10,4,15075.6290027
2012-10-11,4,15752.049999
2012-10-12,4,15061.3389973
2012-10-13,4,15685.7459999
2012-10-14,4,16699.2309994
2012-10-15,4,16136.929000600001
2012-10-16,4,14910.8830033
2012-10-17,4,15524.485996200001
2012-10-18,4,14381.636999
2012-10-19,4,15840.0090019
2012-10-20,4,15442.4480003
2012-10-21,4,16781.0290015
