day,Acorn,energy_sum
2012-03-01,5,992.5659997
2012-03-02,5,1044.4699999
2012-03-03,5,1061.6370002
2012-03-04,5,1217.7589996
2012-03-05,5,1054.0060006
2012-03-06,5,1122.001
2012-03-07,5,1118.6369999
2012-03-08,5,1068.4789997
2012-03-09,5,1088.9980001
2012-03-10,5,1078.3060011
2012-03-11,5,1191.4289999
2012-03-12,5,1003.1640005
2012-03-13,5,1063.1840004
2012-03-14,5,1103.4810004
2012-03-15,5,1081.3209997000001
2012-03-16,5,1129.8999999
2012-03-17,5,1269.2089998000001
2012-03-18,5,1220.7609999000001
2012-03-19,5,1024.7729998
2012-03-20,5,1155.7370006
2012-03-21,5,1200.2360001
2012-03-22,5,1220.9379998
2012-03-23,5,1235.8259986
2012-03-24,5,1307.5280005
2012-03-25,5,1348.3380002
2012-03-26,5,1280.8900001
2012-03-27,5,1230.4230001
2012-03-28,5,1276.8800003000001
2012-03-29,5,1229.3289998
2012-03-30,5,1269.2139997000002
2012-03-31,5,1387.3450001
2012-04-01,5,1386.651
2012-04-02,5,1285.6039999
2012-04-03,5,1348.0730004
2012-04-04,5,1373.9720004
2012-04-05,5,1437.6370004
2012-04-06,5,1526.1830006
2012-04-07,5,1564.1879996
2012-04-08,5,1597.7609999000001
2012-04-09,5,1524.2840006000001
2012-04-10,5,1396.6949997000002
2012-04-11,5,1473.0809999
2012-04-12,5,1508.4010001
2012-04-13,5,1592.2620001
2012-04-14,5,1643.8130006000001
2012-04-15,5,1740.1639988
2012-04-16,5,1699.9430005000002
2012-04-17,5,1794.8410002
2012-04-18,5,1837.4859991
2012-04-19,5,1862.9170002
2012-04-20,5,1898.4680001000002
2012-04-21,5,1763.3179996000001
2012-04-22,5,2064.4769999
2012-04-23,5,1897.6590008
2012-04-24,5,1998.3660002000001
2012-04-25,5,2157.4779997
2012-04-26,5,2163.4670013
2012-04-27,5,2163.2929992
2012-04-28,5,2366.8819997
2012-04-29,5,2596.5559998
2012-04-30,5,2137.0170006
2012-05-01,5,2247.7140009
2012-05-02,5,2333.1400005
2012-05-03,5,2542.0049992
2012-05-04,5,2578.4939991
2012-05-05,5,2731.007
2012-05-06,5,2739.8240003
2012-05-07,5,2795.3009995
2012-05-08,5,2523.3340008
2012-05-09,5,2682.5250001
2012-05-10,5,2632.2959994000003
2012-05-11,5,2626.5230002
2012-05-12,5,2749.5460008
2012-05-13,5,2871.8270008
2012-05-14,5,2869.0359984
2012-05-15,5,3014.2189991
2012-05-16,5,2685.4130006
2012-05-17,5,2698.5079998
2012-05-18,5,3101.1240000000003
2012-05-19,5,3238.6750008000004
2012-05-20,5,3492.2410013
2012-05-21,5,3184.6090003
2012-05-22,5,3052.4819995
2012-05-23,5,3094.6149996
2012-05-24,5,3219.0109998000003
2012-05-25,5,2851.1630005
2012-05-26,5,3482.8649994
2012-05-27,5,3639.7000003000003
2012-05-28,5,3448.8149999
2012-05-29,5,3335.0539998
2012-05-30,5,3553.8639989000003
2012-05-31,5,3588.3309999000003
2012-06-01,5,3731.7909999000003
2012-06-02,5,3964.9539999000003
2012-06-03,5,4369.0260012
2012-06-04,5,4144.135001000001
2012-06-05,5,4301.6830016
2012-06-06,5,3921.3290004
2012-06-07,5,4172.1409994000005
2012-06-08,5,4325.3140002
2012-06-09,5,4358.3290011
2012-06-10,5,4573.6040007
2012-06-11,5,4585.2970013
2012-06-12,5,4622.6570003
2012-06-13,5,3507.7320002
2012-06-14,5,3306.1129994000003
2012-06-15,5,3207.4189996
2012-06-16,5,3070.7989992000003
2012-06-17,5,3831.8400001
2012-06-18,5,4350.7899998
2012-06-19,5,4265.158999
2012-06-20,5,4295.125
2012-06-21,5,4469.5420003
2012-06-22,5,4513.4310003
2012-06-23,5,4716.0290002
2012-06-24,5,4860.434
2012-06-25,5,4429.766001
2012-06-26,5,4383.267001
2012-06-27,5,4463.4030002
2012-06-28,5,4384.6729994
2012-06-29,5,4497.4329989
2012-06-30,5,4454.573
2012-07-01,5,4780.8140002
2012-07-02,5,4656.8189989
2012-07-03,5,4562.1630001
2012-07-04,5,4605.310999
2012-07-05,5,4512.728001
2012-07-06,5,4673.0539996
2012-07-07,5,4892.536
2012-07-08,5,5372.1479986
2012-07-09,5,4991.8849996
2012-07-10,5,5044.3659994
2012-07-11,5,4863.6069999
2012-07-12,5,4971.8400017
2012-07-13,5,5109.84
2012-07-14,5,5483.0740015
2012-07-15,5,5530.7539975
2012-07-16,5,5358.5520005
2012-07-17,5,5008.2160001
2012-07-18,5,5222.0580008
2012-07-19,5,5009.5319986
2012-07-20,5,5184.0030004
2012-07-21,5,5122.929000300001
2012-07-22,5,5183.8209998
2012-07-23,5,4953.4010009
2012-07-24,5,4975.67
2012-07-25,5,4811.1470004
2012-07-26,5,5054.3420001
2012-07-27,5,5183.0419992
2012-07-28,5,5186.560999400001
2012-07-29,5,5472.9359993
2012-07-30,5,5113.6660003
2012-07-31,5,5169.1369993
2012-08-01,5,5000.9409998
2012-08-02,5,4851.3759996
2012-08-03,5,4959.5510003
2012-08-04,5,5008.819001
2012-08-05,5,5325.409000000001
2012-08-06,5,5110.6479992
2012-08-07,5,5072.1150004
2012-08-08,5,4980.9720006
2012-08-09,5,5056.0949992000005
2012-08-10,5,4974.4389994
2012-08-11,5,4946.2709997
2012-08-12,5,5297.3619999
2012-08-13,5,5010.2710007000005
2012-08-14,5,4941.3950011
2012-08-15,5,5052.6739998
2012-08-16,5,5126.8040002
2012-08-17,5,4953.7010013
2012-08-18,5,5165.656000200001
2012-08-19,5,5505.2050001
2012-08-20,5,5241.6880002
2012-08-21,5,5022.2200002
2012-08-22,5,4875.3159994
2012-08-23,5,4946.481999600001
2012-08-24,5,5092.1599987
2012-08-25,5,5147.4700018
2012-08-26,5,5140.7710002
2012-08-27,5,5175.5599996
2012-08-28,5,5017.7829994
2012-08-29,5,4848.8089998000005
2012-08-30,5,5196.1069994
2012-08-31,5,5000.8480004
2012-09-01,5,5164.6970006
2012-09-02,5,5518.2129999
2012-09-03,5,5218.2490003
2012-09-04,5,5166.1299992
2012-09-05,5,5057.8340009
2012-09-06,5,4972.3200009
2012-09-07,5,4970.6220004
2012-09-08,5,5013.0619998
2012-09-09,5,5433.5589994
2012-09-10,5,5183.8130006
2012-09-11,5,5078.7880002
2012-09-12,5,5077.2339999000005
2012-09-13,5,5091.645999
2012-09-14,5,5130.7309995000005
2012-09-15,5,5206.6319995
2012-09-16,5,5618.1160017
2012-09-17,5,5227.5239988
2012-09-18,5,5291.5490006
2012-09-19,5,5156.2780002
2012-09-20,5,5259.1739998
2012-09-21,5,5363.2240001
2012-09-22,5,5601.7239992
2012-09-23,5,6349.7889991
2012-09-24,5,5792.1769989
2012-09-25,5,5594.5390013
2012-09-26,5,5623.3179995
2012-09-27,5,5626.6160009000005
2012-09-28,5,5581.6479989
2012-09-29,5,5808.4799991
2012-09-30,5,6340.4130007
2012-10-01,5,5804.9690008
2012-10-02,5,5748.994000000001
2012-10-03,5,5632.9690001
2012-10-04,5,5679.9820022
2012-10-05,5,5853.3319994
