day,Acorn,energy_sum
2012-03-01,7,349.76100010000005
2012-03-02,7,382.7239997
2012-03-03,7,404.0080001
2012-03-04,7,445.736
2012-03-05,7,402.83899990000003
2012-03-06,7,408.1750001
2012-03-07,7,416.9990007
2012-03-08,7,365.899
2012-03-09,7,431.58299930000004
2012-03-10,7,416.1679996
2012-03-11,7,445.2830003
2012-03-12,7,367.9460001
2012-03-13,7,369.894
2012-03-14,7,421.99800000000005
2012-03-15,7,399.6640001
2012-03-16,7,434.0819997
2012-03-17,7,453.209
2012-03-18,7,502.7529998
2012-03-19,7,417.4360002
2012-03-20,7,396.2790002
2012-03-21,7,404.89899990000004
2012-03-22,7,422.0
2012-03-23,7,430.6329999
2012-03-24,7,522.0140004
2012-03-25,7,568.1099997
2012-03-26,7,487.2929998
2012-03-27,7,451.2699999
2012-03-28,7,478.0400002
2012-03-29,7,469.5989999
2012-03-30,7,452.2570002
2012-03-31,7,546.0840005
2012-04-01,7,545.6390002
2012-04-02,7,468.6820001
2012-04-03,7,519.1840001
2012-04-04,7,554.7860001
2012-04-05,7,583.8299997
2012-04-06,7,611.3180002
2012-04-07,7,552.7919998000001
2012-04-08,7,629.6010001000001
2012-04-09,7,557.6869994
2012-04-10,7,522.471
2012-04-11,7,562.0720002
2012-04-12,7,593.7080004000001
2012-04-13,7,620.9069997
2012-04-14,7,698.8009996000001
2012-04-15,7,677.0469996
2012-04-16,7,615.5869999
2012-04-17,7,631.7889998
2012-04-18,7,670.6659994
2012-04-19,7,717.6369996999999
2012-04-20,7,712.784
2012-04-21,7,760.8059997
2012-04-22,7,834.6529995
2012-04-23,7,771.5710005000001
2012-04-24,7,770.1869998000001
2012-04-25,7,885.9040003
2012-04-26,7,874.5590000000001
2012-04-27,7,895.514
2012-04-28,7,1077.0620002
2012-04-29,7,1147.8979999
2012-04-30,7,945.5440004
2012-05-01,7,961.1939999
2012-05-02,7,1080.2389999
2012-05-03,7,1223.0199991
2012-05-04,7,1230.0699992
2012-05-05,7,1352.4060002
2012-05-06,7,1483.7949999
2012-05-07,7,1403.6409999
2012-05-08,7,1198.6150002
2012-05-09,7,1238.9119997
2012-05-10,7,1291.6149999000002
2012-05-11,7,1344.9770002
2012-05-12,7,1462.7989995
2012-05-13,7,1549.0319997000001
2012-05-14,7,1452.2060006000002
2012-05-15,7,1553.2489996
2012-05-16,7,1403.878
2012-05-17,7,1447.8939995
2012-05-18,7,1712.5680001
2012-05-19,7,1822.8339997
2012-05-20,7,1963.8550003
2012-05-21,7,1745.1189998
2012-05-22,7,1769.3890000000001
2012-05-23,7,1813.2890002000001
2012-05-24,7,1801.2649995000002
2012-05-25,7,1702.3089999000001
2012-05-26,7,1881.6440005
2012-05-27,7,2035.7929998
2012-05-28,7,1930.2509994
2012-05-29,7,1887.5819999
2012-05-30,7,1883.6950004
2012-05-31,7,1958.1410002
2012-06-01,7,1990.6780003000001
2012-06-02,7,2113.2670003
2012-06-03,7,2297.6349999
2012-06-04,7,2172.137
2012-06-05,7,2181.6650006
2012-06-06,7,2047.7959996
2012-06-07,7,2164.2040002
2012-06-08,7,2202.6339993
2012-06-09,7,2082.3319996
2012-06-10,7,2303.5099999
2012-06-11,7,2299.8140007
2012-06-12,7,2234.9240005
2012-06-13,7,1657.723
2012-06-14,7,1608.5379988
2012-06-15,7,1669.4910007
2012-06-16,7,1625.4250001
2012-06-17,7,1872.0739994
2012-06-18,7,2169.4909995
2012-06-19,7,2099.8470004
2012-06-20,7,2152.5599996
2012-06-21,7,2183.6639999
2012-06-22,7,2211.1659996
2012-06-23,7,2310.5669999
2012-06-24,7,2391.4780005000002
2012-06-25,7,2188.9310011000002
2012-06-26,7,2142.3179996
2012-06-27,7,2135.1179992
2012-06-28,7,2186.1569999
2012-06-29,7,2185.7409992
2012-06-30,7,2327.2820006
2012-07-01,7,2423.1070001
2012-07-02,7,2257.9130005
2012-07-03,7,2229.1949997
2012-07-04,7,2228.9870004
2012-07-05,7,2189.7069997
2012-07-06,7,2298.6830002
2012-07-07,7,2442.823
2012-07-08,7,2782.9950005
2012-07-09,7,2448.6739987
2012-07-10,7,2454.0289995
2012-07-11,7,2395.9050005
2012-07-12,7,2437.1689994
2012-07-13,7,2581.0449993
2012-07-14,7,2775.7160009
2012-07-15,7,2753.1350005
2012-07-16,7,2669.8119993
2012-07-17,7,2488.5279999
2012-07-18,7,2602.4659995
2012-07-19,7,2500.2509997
2012-07-20,7,2605.4680012
2012-07-21,7,2607.8760009000002
2012-07-22,7,2708.7859994
2012-07-23,7,2631.3309995
2012-07-24,7,2531.9550004000002
2012-07-25,7,2239.4829997
2012-07-26,7,2479.1820006000003
2012-07-27,7,2610.4169993
2012-07-28,7,2611.413001
2012-07-29,7,2792.3179992
2012-07-30,7,2610.2479998
2012-07-31,7,2586.2559997
2012-08-01,7,2582.137999
2012-08-02,7,2619.606
2012-08-03,7,2548.0459996
2012-08-04,7,2745.6139998
2012-08-05,7,2887.8210001
2012-08-06,7,2687.7680007
2012-08-07,7,2581.9599998
2012-08-08,7,2536.52
2012-08-09,7,2552.405
2012-08-10,7,2533.1910002
2012-08-11,7,2643.6710004
2012-08-12,7,2710.2309991
2012-08-13,7,2590.3099989
2012-08-14,7,2528.3239993
2012-08-15,7,2518.5419998
2012-08-16,7,2530.9820009
2012-08-17,7,2525.384
2012-08-18,7,2630.5910002
2012-08-19,7,2771.6240000000003
2012-08-20,7,2673.4630001
2012-08-21,7,2594.2219996
2012-08-22,7,2539.2810013
2012-08-23,7,2461.4379993000002
2012-08-24,7,2596.0189993
2012-08-25,7,2613.4030003000003
2012-08-26,7,2681.6910008
2012-08-27,7,2733.1049999
2012-08-28,7,2593.9129996
2012-08-29,7,2527.4420007
2012-08-30,7,2635.317
2012-08-31,7,2603.8290002
2012-09-01,7,2655.209
2012-09-02,7,2834.2949992
2012-09-03,7,2588.8819993
2012-09-04,7,2589.763
2012-09-05,7,2532.8200004
2012-09-06,7,2519.1759996
2012-09-07,7,2543.4419996
2012-09-08,7,2709.4009982000002
2012-09-09,7,2755.3000004
2012-09-10,7,2660.8300006
2012-09-11,7,2553.9529996
2012-09-12,7,2516.2029995000003
2012-09-13,7,2480.9549996
2012-09-14,7,2600.1219993
2012-09-15,7,2713.7399995
2012-09-16,7,2955.321
2012-09-17,7,2658.5209996
2012-09-18,7,2654.5259996
2012-09-19,7,2765.2740005
2012-09-20,7,2841.0389993
2012-09-21,7,2911.1419999
2012-09-22,7,3074.0490004000003
2012-09-23,7,3547.106
2012-09-24,7,3082.4940011
2012-09-25,7,3129.8500012
2012-09-26,7,3143.7459993
2012-09-27,7,3276.9729995
2012-09-28,7,3435.2409997
2012-09-29,7,3509.7730004
2012-09-30,7,3682.9080010000002
2012-10-01,7,3460.3739996
2012-10-02,7,3460.0239991
2012-10-03,7,3559.7430004000003
2012-10-04,7,3587.188001
2012-10-05,7,3826.1970008000003
2012-10-06,7,3831.035001
2012-10-07,7,4150.5840012
2012-10-08,7,3878.265
2012-10-09,7,3744.9849999000003
2012-10-10,7,3847.0370008
2012-10-11,7,3988.1229992
2012-10-12,7,4025.4149997
2012-10-13,7,4300.667
2012-10-14,7,4473.6239997
2012-10-15,7,4230.3060005
2012-10-16,7,4164.3960011
2012-10-17,7,4094.4189996
2012-10-18,7,3856.9309988
2012-10-19,7,4566.8120005
2012-10-20,7,4763.9540001000005
2012-10-21,7,5099.5479991
2012-10-22,7,4642.2140001
2012-10-23,7,4663.3880011
2012-10-24,7,4591.7539994
2012-10-25,7,4721.3599993
2012-10-26,7,5205.0969991
2012-10-27,7,5488.5809994
2012-10-28,7,5919.8820002
2012-10-29,7,5067.4680019
2012-10-30,7,5019.0349997
2012-10-31,7,5017.8019999
2012-11-01,7,4965.0980004
2012-11-02,7,5101.6969986
2012-11-03,7,5328.9339993
2012-11-04,7,6015.444001100001
2012-11-05,7,5227.2059985
2012-11-06,7,5271.8200005
2012-11-07,7,5209.1970008
2012-11-08,7,5032.9970005000005
2012-11-09,7,5133.1869974
2012-11-10,7,5535.3199996
2012-11-11,7,5846.3050001
2012-11-12,7,5439.3780003
2012-11-13,7,5117.6570003
2012-11-14,7,5070.7570001
2012-11-15,7,5171.3879986
2012-11-16,7,5342.8830019
2012-11-17,7,5562.4629991
2012-11-18,7,5841.548001
2012-11-19,7,5260.5819985
2012-11-20,7,5295.1469988
2012-11-21,7,5323.0199989
2012-11-22,7,5077.3279992
2012-11-23,7,5296.6080004
2012-11-24,7,5887.9490007
2012-11-25,7,5856.1459995000005
2012-11-26,7,5345.6250015000005
2012-11-27,7,5517.007999
2012-11-28,7,5527.649999
2012-11-29,7,5685.0719998
2012-11-30,7,5670.7940017
2012-12-01,7,6069.0769999
2012-12-02,7,6421.2719997
2012-12-03,7,5556.5950001
2012-12-04,7,5670.1430015000005
2012-12-05,7,5603.4760028
2012-12-06,7,5981.0220036
2012-12-07,7,6032.0439981
2012-12-08,7,5940.2489989000005
2012-12-09,7,6418.2639996
2012-12-10,7,5753.664
2012-12-11,7,5074.956
2012-12-12,7,5373.7460005
2012-12-13,7,6279.0009987
2012-12-14,7,6238.494998300001
2012-12-15,7,5910.6190007000005
2012-12-16,7,6302.6259994
2012-12-17,7,5751.7689980000005
2012-12-18,7,5783.7010004
2012-12-19,7,5987.5789991
2012-12-20,7,5972.2670011
2012-12-21,7,5786.4970019
2012-12-22,7,6193.438
2012-12-23,7,6304.816000100001
2012-12-24,7,6326.8610001
2012-12-25,7,6820.6859991
2012-12-26,7,6294.1240004
2012-12-27,7,6131.5440015
2012-12-28,7,6022.542
2012-12-29,7,6022.1439995
2012-12-30,7,6000.8829993
2012-12-31,7,5998.880998000001
2013-01-01,7,5880.138997
2013-01-02,7,5901.6029984
2013-01-03,7,5503.3879988
2013-01-04,7,5507.4180002
2013-01-05,7,5736.235998
2013-01-06,7,6086.0310019
2013-01-07,7,5565.1349998
2013-01-08,7,5398.3980001
2013-01-09,7,5342.5080006
2013-01-10,7,5676.3849992000005
2013-01-11,7,5779.5480011
2013-01-12,7,6161.834999
2013-01-13,7,6394.1700006
2013-01-14,7,5906.5629992
2013-01-15,7,5960.5770003
2013-01-16,7,5994.6520001
2013-01-17,7,5960.6749985
2013-01-18,7,6519.3130007
2013-01-19,7,6759.8030002000005
2013-01-20,7,6967.6020024
2013-01-21,7,6216.6889994
2013-01-22,7,6246.907999
2013-01-23,7,6257.5959996
2013-01-24,7,6143.7510002
2013-01-25,7,6205.4639975
2013-01-26,7,5987.6449983
2013-01-27,7,6164.1660019
2013-01-28,7,5821.4699974000005
2013-01-29,7,5385.6690007
2013-01-30,7,5299.6899993
2013-01-31,7,5410.8339989
2013-02-01,7,5540.5509988
2013-02-02,7,6110.0380017
2013-02-03,7,6590.1330014000005
2013-02-04,7,5529.4430003
2013-02-05,7,5786.769001000001
2013-02-06,7,5875.411001
2013-02-07,7,5835.009999700001
2013-02-08,7,5732.2930015
2013-02-09,7,6139.665999100001
2013-02-10,7,6546.2869976
2013-02-11,7,5970.2220005
2013-02-12,7,5952.9810011
2013-02-13,7,5936.5169991
2013-02-14,7,5543.8330005
2013-02-15,7,5443.114002
2013-02-16,7,5413.3310014
2013-02-17,7,5852.5789978
2013-02-18,7,5447.5789996
2013-02-19,7,5192.9650009
2013-02-20,7,5611.003000000001
2013-02-21,7,5836.844
2013-02-22,7,6000.4850001
2013-02-23,7,6224.9869989
2013-02-24,7,6663.8699998
2013-02-25,7,5902.5670003000005
2013-02-26,7,5930.1730004
2013-02-27,7,5677.6689985
2013-02-28,7,5593.9820004
2013-03-01,7,5712.1650005
2013-03-02,7,5735.8259971
2013-03-03,7,5787.9699993
2013-03-04,7,5392.2189993
2013-03-05,7,5184.5450002
2013-03-06,7,5076.7499983
2013-03-07,7,5163.1100001
2013-03-08,7,5315.9840009
2013-03-09,7,5590.7879989
2013-03-10,7,6219.6669989
2013-03-11,7,6009.2989995
2013-03-12,7,5814.2839985
2013-03-13,7,5575.2460015
2013-03-14,7,5510.7430004
2013-03-15,7,5550.7530001000005
2013-03-16,7,5778.3150000000005
2013-03-17,7,6162.7740004
2013-03-18,7,5549.5590022
2013-03-19,7,5301.864998200001
2013-03-20,7,5581.5319995
2013-03-21,7,5445.4610017
2013-03-22,7,5553.4579993
2013-03-23,7,6236.0330011
2013-03-24,7,6780.9120023000005
2013-03-25,7,6057.7319992
2013-03-26,7,5796.7189971
2013-03-27,7,5581.2640012
2013-03-28,7,5479.755999
2013-03-29,7,5825.1879996
2013-03-30,7,5739.3160025
2013-03-31,7,5909.6580012
2013-04-01,7,5718.3560002
2013-04-02,7,5268.5429992
2013-04-03,7,5610.2569999
2013-04-04,7,5746.9909976
2013-04-05,7,5529.4479996
2013-04-06,7,5347.3520014000005
2013-04-07,7,5357.4229996
2013-04-08,7,5015.4309993
2013-04-09,7,5096.6740005
2013-04-10,7,4891.3260009000005
2013-04-11,7,4897.8410002
2013-04-12,7,4958.3380003
2013-04-13,7,5086.842998
2013-04-14,7,5028.8749978000005
2013-04-15,7,4465.2479989
2013-04-16,7,4464.4629986
2013-04-17,7,4418.2619987
2013-04-18,7,4477.4719996
2013-04-19,7,4619.5550001
2013-04-20,7,4646.8199981
2013-04-21,7,4782.2109992000005
2013-04-22,7,4528.5249996
2013-04-23,7,4164.0740003
2013-04-24,7,4125.0469986
2013-04-25,7,4020.389
2013-04-26,7,4103.5880015
2013-04-27,7,4698.4300005000005
2013-04-28,7,4946.4080016
2013-04-29,7,4407.555
2013-04-30,7,4207.1679994
2013-05-01,7,4236.621999200001
2013-05-02,7,4062.4309999
2013-05-03,7,4037.0150003000003
2013-05-04,7,4203.5659993
2013-05-05,7,4301.0489997
2013-05-06,7,4336.0879999
2013-05-07,7,4103.4499989000005
2013-05-08,7,4088.9560003
2013-05-09,7,4245.1839999
2013-05-10,7,4130.6650003
2013-05-11,7,4532.5159999
2013-05-12,7,4730.2699998
2013-05-13,7,4216.055
2013-05-14,7,4450.0790002
2013-05-15,7,4468.1499993
2013-05-16,7,4143.197998
2013-05-17,7,4357.3269986000005
2013-05-18,7,4444.5820001
2013-05-19,7,4609.9560013
2013-05-20,7,4378.4660012
2013-05-21,7,4198.5399984000005
2013-05-22,7,4229.3879999
2013-05-23,7,4196.1199993
2013-05-24,7,4473.5310011
2013-05-25,7,4303.8470009
2013-05-26,7,4229.6159977
2013-05-27,7,4178.5940003000005
2013-05-28,7,4335.1680007
2013-05-29,7,4437.6689987
2013-05-30,7,4348.464999700001
2013-05-31,7,4137.1270001
2013-06-01,7,4230.9960006
2013-06-02,7,4462.3760009
2013-06-03,7,3976.5729992
2013-06-04,7,3984.4960003
2013-06-05,7,4051.2039989
2013-06-06,7,4030.7879997
2013-06-07,7,4073.2799992
2013-06-08,7,4143.0699994
2013-06-09,7,4639.6749982
2013-06-10,7,4175.6789997000005
2013-06-11,7,4159.9100003
2013-06-12,7,4198.8589993000005
2013-06-13,7,4163.5809991
2013-06-14,7,3950.2380007
2013-06-15,7,4361.8730006
2013-06-16,7,4546.7490012
2013-06-17,7,4115.3140002
2013-06-18,7,4166.8510003
2013-06-19,7,4085.9829997
2013-06-20,7,4161.6250011
2013-06-21,7,4071.238
2013-06-22,7,4416.1879988
2013-06-23,7,4702.3329992
2013-06-24,7,4230.6690005
2013-06-25,7,4006.3159995
2013-06-26,7,4047.0680002
2013-06-27,7,4062.5060003
2013-06-28,7,4130.6859989
2013-06-29,7,4266.878
2013-06-30,7,4458.0850014
2013-07-01,7,4193.9479999
2013-07-02,7,4175.647999100001
2013-07-03,7,4084.4479994000003
2013-07-04,7,4036.5800005
2013-07-05,7,3950.8790007000002
2013-07-06,7,4119.3340007
2013-07-07,7,4336.6020015
2013-07-08,7,4037.9949994
2013-07-09,7,3737.5849995000003
2013-07-10,7,3957.1360001000003
2013-07-11,7,3911.6069995000003
2013-07-12,7,3991.036
2013-07-13,7,4108.5820007
2013-07-14,7,4067.3979995
2013-07-15,7,4145.2949991000005
