day,Acorn,energy_sum
2012-03-01,10,186.45399999999998
2012-03-02,10,213.69600020000001
2012-03-03,10,229.063
2012-03-04,10,254.16900049999998
2012-03-05,10,216.0950002
2012-03-06,10,216.8529999
2012-03-07,10,209.86299960000002
2012-03-08,10,214.20400020000002
2012-03-09,10,221.0289999
2012-03-10,10,232.9259998
2012-03-11,10,220.8130001
2012-03-12,10,208.68300000000002
2012-03-13,10,205.3900001
2012-03-14,10,197.04800020000002
2012-03-15,10,209.8249999
2012-03-16,10,207.87999989999997
2012-03-17,10,216.321
2012-03-18,10,232.76400010000003
2012-03-19,10,205.3740002
2012-03-20,10,213.3029999
2012-03-21,10,192.85400009999998
2012-03-22,10,204.907
2012-03-23,10,224.8790001
2012-03-24,10,221.6079999
2012-03-25,10,245.0650003
2012-03-26,10,215.90400010000002
2012-03-27,10,217.4840001
2012-03-28,10,222.5680001
2012-03-29,10,217.74
2012-03-30,10,205.5089999
2012-03-31,10,246.91399990000002
2012-04-01,10,261.83100010000004
2012-04-02,10,254.6819997
2012-04-03,10,292.2740002
2012-04-04,10,330.4950003
2012-04-05,10,331.9969993
2012-04-06,10,361.2870002
2012-04-07,10,334.6469999
2012-04-08,10,337.0130003
2012-04-09,10,291.2190002
2012-04-10,10,305.863
2012-04-11,10,324.1050001
2012-04-12,10,400.956
2012-04-13,10,405.4880003
2012-04-14,10,420.9600004
2012-04-15,10,468.38400050000007
2012-04-16,10,423.38100000000003
2012-04-17,10,482.4439994
2012-04-18,10,482.756
2012-04-19,10,544.5130001
2012-04-20,10,567.6990002
2012-04-21,10,561.6859996000001
2012-04-22,10,589.8530001
2012-04-23,10,551.4649999000001
2012-04-24,10,580.7500002
2012-04-25,10,586.668
2012-04-26,10,668.4050004000001
2012-04-27,10,715.3650001999999
2012-04-28,10,832.4570004
2012-04-29,10,931.8009997
2012-04-30,10,742.5630001000001
2012-05-01,10,740.1609996
2012-05-02,10,801.0990002
2012-05-03,10,827.6529997
2012-05-04,10,884.1489996
2012-05-05,10,977.8710001
2012-05-06,10,955.4300002
2012-05-07,10,957.0619998
2012-05-08,10,822.797
2012-05-09,10,887.988
2012-05-10,10,865.1040001
2012-05-11,10,886.8289997
2012-05-12,10,943.6900002
2012-05-13,10,976.1470001
2012-05-14,10,931.2229997000001
2012-05-15,10,982.0259994
2012-05-16,10,853.8029998000001
2012-05-17,10,808.6109996
2012-05-18,10,1016.7250003
2012-05-19,10,1008.5099998000001
2012-05-20,10,1107.2069995
2012-05-21,10,1005.8370003
2012-05-22,10,988.1679996
2012-05-23,10,1018.1100003
2012-05-24,10,1001.4619995
2012-05-25,10,1013.259
2012-05-26,10,1081.9779997
2012-05-27,10,1134.7420004
2012-05-28,10,1046.5569995
2012-05-29,10,1021.8000003
2012-05-30,10,1031.3760003
2012-05-31,10,1037.1099998
2012-06-01,10,1123.743
2012-06-02,10,1147.5159994
2012-06-03,10,1243.7270004
2012-06-04,10,1238.604
2012-06-05,10,1254.1050003
2012-06-06,10,1138.4849995
2012-06-07,10,1197.7579997
2012-06-08,10,1206.4169992
2012-06-09,10,1199.8500001
2012-06-10,10,1249.1069994
2012-06-11,10,1262.3070002
2012-06-12,10,1241.6019999
2012-06-13,10,938.4629998
2012-06-14,10,900.3610000000001
2012-06-15,10,905.0800003
2012-06-16,10,863.1699995
2012-06-17,10,1091.6719997
2012-06-18,10,1180.9459999
2012-06-19,10,1131.3180001
2012-06-20,10,1149.9459998
2012-06-21,10,1121.1430004000001
2012-06-22,10,1204.4009998000001
2012-06-23,10,1259.2339998
2012-06-24,10,1310.0929994
2012-06-25,10,1159.5520006
2012-06-26,10,1158.2880002
2012-06-27,10,1176.832
2012-06-28,10,1128.9500003
2012-06-29,10,1186.3059999
2012-06-30,10,1225.119
2012-07-01,10,1302.0110002
2012-07-02,10,1213.2920001
2012-07-03,10,1189.7749999
2012-07-04,10,1208.4939998
2012-07-05,10,1194.1689997
2012-07-06,10,1278.5140004
2012-07-07,10,1340.4889997
2012-07-08,10,1388.8349996
2012-07-09,10,1247.9579996
2012-07-10,10,1222.1769999
2012-07-11,10,1215.1400006000001
2012-07-12,10,1265.6510003
2012-07-13,10,1261.3480002
2012-07-14,10,1365.7079995
2012-07-15,10,1406.0759996000002
2012-07-16,10,1321.671
2012-07-17,10,1301.1059996
2012-07-18,10,1315.69
2012-07-19,10,1299.4199997
2012-07-20,10,1348.1839997
2012-07-21,10,1359.2070002
2012-07-22,10,1364.9220004
2012-07-23,10,1298.6670001
2012-07-24,10,1293.8170001
2012-07-25,10,833.8159998
2012-07-26,10,1256.2809996
2012-07-27,10,1347.8630005
2012-07-28,10,1349.2599999
