day,Acorn,energy_sum
2012-03-01,11,352.7690001
2012-03-02,11,387.92100020000004
2012-03-03,11,394.0809997
2012-03-04,11,427.88899949999995
2012-03-05,11,348.1319996
2012-03-06,11,423.1539998
2012-03-07,11,423.3479999
2012-03-08,11,400.96600010000003
2012-03-09,11,443.3209998
2012-03-10,11,435.1250001
2012-03-11,11,449.1379999
2012-03-12,11,402.8030001
2012-03-13,11,425.4619998
2012-03-14,11,429.6799998
2012-03-15,11,446.71900030000006
2012-03-16,11,428.2870004
2012-03-17,11,480.2429997
2012-03-18,11,496.34199939999996
2012-03-19,11,473.1509997
2012-03-20,11,434.633
2012-03-21,11,447.6879994
2012-03-22,11,414.69200010000003
2012-03-23,11,448.02700010000007
2012-03-24,11,472.0300001
2012-03-25,11,533.0870001000001
2012-03-26,11,449.8229999
2012-03-27,11,426.7799998
2012-03-28,11,434.08800010000004
2012-03-29,11,396.7980003
2012-03-30,11,438.88100010000005
2012-03-31,11,473.85200069999996
2012-04-01,11,542.216
2012-04-02,11,466.33999950000003
2012-04-03,11,423.5599995
2012-04-04,11,451.74299990000003
2012-04-05,11,532.1280002
2012-04-06,11,557.484
2012-04-07,11,514.844
2012-04-08,11,575.7229998
2012-04-09,11,554.6980003
2012-04-10,11,498.535
2012-04-11,11,545.42
2012-04-12,11,582.2499998
2012-04-13,11,613.6880002
2012-04-14,11,611.0070005
2012-04-15,11,756.6219996
2012-04-16,11,654.157
2012-04-17,11,692.6049997
2012-04-18,11,751.0020005
2012-04-19,11,753.9090002
2012-04-20,11,754.7689998000001
2012-04-21,11,789.7729998
2012-04-22,11,865.7120001000001
2012-04-23,11,784.0769994
2012-04-24,11,806.5710005
2012-04-25,11,848.1230004
2012-04-26,11,841.8420001
2012-04-27,11,843.4219999000001
2012-04-28,11,1000.151
2012-04-29,11,1014.3340004
2012-04-30,11,854.0790006
2012-05-01,11,858.1839997
2012-05-02,11,856.832
2012-05-03,11,959.6690003
2012-05-04,11,986.7359997
2012-05-05,11,1069.2679997
2012-05-06,11,1179.7360001
2012-05-07,11,1110.8250004
2012-05-08,11,921.3859999
2012-05-09,11,930.3839999
2012-05-10,11,1013.0420002000001
2012-05-11,11,964.6610001
2012-05-12,11,1042.7099998
2012-05-13,11,1037.6670003
2012-05-14,11,1027.8150003
2012-05-15,11,1042.9590002
2012-05-16,11,993.4060002
2012-05-17,11,1052.5100002
2012-05-18,11,1144.902
2012-05-19,11,1179.3590001
2012-05-20,11,1335.7489995
2012-05-21,11,1142.4400007
2012-05-22,11,1137.6709998000001
2012-05-23,11,1089.6420003
2012-05-24,11,1179.2559998
2012-05-25,11,998.3260001
2012-05-26,11,1182.2799996
2012-05-27,11,1396.9590007
2012-05-28,11,1300.8570002000001
2012-05-29,11,1149.5560006
2012-05-30,11,1319.0849993
2012-05-31,11,1341.5959996
2012-06-01,11,1380.3550001
2012-06-02,11,1510.4020001000001
2012-06-03,11,1720.0390002
2012-06-04,11,1565.8470002000001
2012-06-05,11,1570.8629994
2012-06-06,11,1410.4040003
2012-06-07,11,1450.069
2012-06-08,11,1553.0349995000001
2012-06-09,11,1595.1160001
2012-06-10,11,1628.4480004000002
2012-06-11,11,1638.6530006
2012-06-12,11,1614.3569991
2012-06-13,11,1244.0849993
2012-06-14,11,1174.5969999000001
2012-06-15,11,1120.155
2012-06-16,11,1121.7350001
2012-06-17,11,1370.3230001
2012-06-18,11,1524.4200007000002
2012-06-19,11,1473.7450004
2012-06-20,11,1482.5720003
2012-06-21,11,1549.3589998
2012-06-22,11,1582.1519994
2012-06-23,11,1642.7150007
2012-06-24,11,1644.4039998
2012-06-25,11,1588.6780003000001
2012-06-26,11,1586.8459998
2012-06-27,11,1590.4450003
2012-06-28,11,1558.3460003
2012-06-29,11,1575.309
2012-06-30,11,1593.6450000000002
2012-07-01,11,1740.0070002
2012-07-02,11,1662.8949996000001
2012-07-03,11,1622.4859999
2012-07-04,11,1611.3370002
2012-07-05,11,1558.7179996
2012-07-06,11,1571.8400001
2012-07-07,11,1756.8129999
2012-07-08,11,1836.8749999000001
2012-07-09,11,1691.1550001
2012-07-10,11,1635.535
2012-07-11,11,1530.2839998000002
2012-07-12,11,1474.0019999
2012-07-13,11,1658.1180007
2012-07-14,11,1768.7039999
2012-07-15,11,1878.3119995000002
2012-07-16,11,1730.8419999
2012-07-17,11,1631.3780008
2012-07-18,11,1661.9949988
2012-07-19,11,1476.0980007
2012-07-20,11,1663.7989998
2012-07-21,11,1754.0649996
2012-07-22,11,1774.8319995
2012-07-23,11,1683.3349998
2012-07-24,11,1702.0369999
2012-07-25,11,1491.3100001
2012-07-26,11,1609.4520001
2012-07-27,11,1761.0380001
2012-07-28,11,1748.6589995000002
2012-07-29,11,1876.6940004
2012-07-30,11,1688.8390002
2012-07-31,11,1711.3499998
2012-08-01,11,1729.2730002
2012-08-02,11,1683.2630000000001
2012-08-03,11,1711.3740003
2012-08-04,11,1778.1410011
2012-08-05,11,1962.7619994
2012-08-06,11,1754.5479995
2012-08-07,11,1742.4359997000001
2012-08-08,11,1706.4670001
2012-08-09,11,1750.2249997000001
2012-08-10,11,1675.7450002
2012-08-11,11,1793.724
2012-08-12,11,1930.2730000000001
2012-08-13,11,1727.1070001
2012-08-14,11,1670.2179996
2012-08-15,11,1718.8910002
2012-08-16,11,1736.5729997
2012-08-17,11,1660.3330001
2012-08-18,11,1771.5670004
2012-08-19,11,1930.1060007
2012-08-20,11,1776.374
2012-08-21,11,1716.2709995
2012-08-22,11,1680.8619999
2012-08-23,11,1573.8749999000001
2012-08-24,11,1681.6780001
2012-08-25,11,1776.4679995000001
2012-08-26,11,1839.1409998
2012-08-27,11,1834.0639999
2012-08-28,11,1758.8049997
2012-08-29,11,1710.1430002
2012-08-30,11,1764.4669997
2012-08-31,11,1747.9899993000001
2012-09-01,11,1803.3050003
2012-09-02,11,1995.1090003
2012-09-03,11,1720.2770005
2012-09-04,11,1693.5909998
2012-09-05,11,1719.8289995
2012-09-06,11,1688.4650003
2012-09-07,11,1650.6520003
2012-09-08,11,1743.094
2012-09-09,11,1850.0760003
2012-09-10,11,1725.1570003
2012-09-11,11,1688.013
2012-09-12,11,1662.6289993
2012-09-13,11,1660.6020004000002
2012-09-14,11,1717.922
2012-09-15,11,1838.7460002
2012-09-16,11,1979.4629999
2012-09-17,11,1789.645
2012-09-18,11,1757.9479998
2012-09-19,11,1763.2159992
2012-09-20,11,1839.3219997
2012-09-21,11,1925.8599998
2012-09-22,11,2042.1349998
2012-09-23,11,2323.4
2012-09-24,11,2060.9019997
2012-09-25,11,2084.4439999
2012-09-26,11,2129.8830001
