day,Acorn,energy_sum
2012-03-01,16,1012.5469996
2012-03-02,16,1033.6430002
2012-03-03,16,1063.2299993
2012-03-04,16,1183.2309997
2012-03-05,16,1132.8849995
2012-03-06,16,1160.7469993
2012-03-07,16,1190.0889999
2012-03-08,16,1148.4250003
2012-03-09,16,1117.7800006
2012-03-10,16,1141.097
2012-03-11,16,1141.4570002
2012-03-12,16,1042.4050001
2012-03-13,16,1035.255
2012-03-14,16,1076.2739997
2012-03-15,16,1178.8419993
2012-03-16,16,1187.7510006
2012-03-17,16,1298.686999
2012-03-18,16,1413.4429998
2012-03-19,16,1186.2060001
2012-03-20,16,1320.6870009000002
2012-03-21,16,1257.8590007
2012-03-22,16,1269.9849996
2012-03-23,16,1261.4109993
2012-03-24,16,1401.8489998
2012-03-25,16,1356.557
2012-03-26,16,1332.9610010000001
2012-03-27,16,1294.9469999
2012-03-28,16,1284.6710003
2012-03-29,16,1316.0200004
2012-03-30,16,1311.0609997
2012-03-31,16,1450.9940003
2012-04-01,16,1509.9259993
2012-04-02,16,1319.9850008
2012-04-03,16,1464.9630007
2012-04-04,16,1338.5870017
2012-04-05,16,1288.4589996
2012-04-06,16,1553.7430005
2012-04-07,16,1651.4849999
2012-04-08,16,1692.0369997
2012-04-09,16,1653.3549987000001
2012-04-10,16,1620.7759993000002
2012-04-11,16,1628.6389991
2012-04-12,16,1686.1510009
2012-04-13,16,1652.2500001
2012-04-14,16,1831.1409998000001
2012-04-15,16,1978.0300014
2012-04-16,16,1797.3380009
2012-04-17,16,1839.2989999000001
2012-04-18,16,1924.9840015
2012-04-19,16,1970.7900008000001
2012-04-20,16,2052.4970009
2012-04-21,16,2118.5439994000003
2012-04-22,16,2242.578999
2012-04-23,16,2121.5329996
2012-04-24,16,2123.0169994000003
2012-04-25,16,2247.7900005
2012-04-26,16,2188.1879996000002
2012-04-27,16,2235.3860002
2012-04-28,16,2416.7140008
2012-04-29,16,2586.1329999
2012-04-30,16,2312.0049998
2012-05-01,16,2288.2070007
2012-05-02,16,2408.8029999
2012-05-03,16,2748.0579996
2012-05-04,16,2787.7709999
2012-05-05,16,3024.8690008000003
2012-05-06,16,3166.2389994
2012-05-07,16,3053.178999
2012-05-08,16,2811.8590002
2012-05-09,16,2919.2059999000003
2012-05-10,16,2996.8050005
2012-05-11,16,2914.2390001
2012-05-12,16,3237.7210008
2012-05-13,16,3446.2609991
2012-05-14,16,3278.1930014
2012-05-15,16,3254.8880009
2012-05-16,16,3000.6540007
2012-05-17,16,3024.5099993
2012-05-18,16,3646.7719991
2012-05-19,16,3712.5770002
2012-05-20,16,4137.7670003
2012-05-21,16,3734.3769989
2012-05-22,16,3554.3210006
2012-05-23,16,3646.8339991000003
2012-05-24,16,3682.4760001
2012-05-25,16,3348.7650008
2012-05-26,16,3951.625
2012-05-27,16,4103.2439995
2012-05-28,16,3816.8440007
2012-05-29,16,3791.896
2012-05-30,16,3948.1309992
2012-05-31,16,3978.7320008
2012-06-01,16,4009.8739995
2012-06-02,16,4238.8449984
2012-06-03,16,4505.4309995
2012-06-04,16,4293.9229996
2012-06-05,16,4562.7500013
2012-06-06,16,4234.4440007
2012-06-07,16,4411.5949993
2012-06-08,16,4450.1130005
2012-06-09,16,4448.7650002
2012-06-10,16,4846.2540004
2012-06-11,16,4801.6050008
2012-06-12,16,4669.7469991
2012-06-13,16,3593.504
2012-06-14,16,3418.4839996
2012-06-15,16,3449.4499993
2012-06-16,16,3400.1390003
2012-06-17,16,4006.5330004
2012-06-18,16,4612.907000300001
2012-06-19,16,4559.947000300001
2012-06-20,16,4457.624
2012-06-21,16,4684.8530006
2012-06-22,16,4646.9040005
2012-06-23,16,4867.4360005
2012-06-24,16,5105.0119996
2012-06-25,16,4667.1409995
2012-06-26,16,4703.6629997
2012-06-27,16,4701.237
2012-06-28,16,4431.6389999
2012-06-29,16,4690.5030001000005
2012-06-30,16,4754.7360008000005
2012-07-01,16,5108.6390003
2012-07-02,16,4794.1709984
2012-07-03,16,4795.7509991
2012-07-04,16,4734.935999400001
2012-07-05,16,4759.3479998
2012-07-06,16,4897.3349995
2012-07-07,16,5189.4250015
2012-07-08,16,5512.3029997
2012-07-09,16,5084.4739984
2012-07-10,16,5007.0859999
2012-07-11,16,4984.5070006000005
2012-07-12,16,5205.1330003
2012-07-13,16,5135.6029994
2012-07-14,16,5579.6970002
2012-07-15,16,5515.8909994000005
2012-07-16,16,5376.281
2012-07-17,16,5231.8710008
2012-07-18,16,5213.3910009
2012-07-19,16,5150.4479996
2012-07-20,16,5238.5390012
2012-07-21,16,5239.7020011
2012-07-22,16,5283.0590004000005
2012-07-23,16,5142.3179996
2012-07-24,16,5177.3859991
2012-07-25,16,4909.9130007
2012-07-26,16,4991.324001
2012-07-27,16,5262.6790007
2012-07-28,16,5170.9339993
2012-07-29,16,5487.1780004
2012-07-30,16,5188.3750007
2012-07-31,16,5214.2230003
2012-08-01,16,5108.8040001
2012-08-02,16,5169.8699987
2012-08-03,16,5125.1700007
2012-08-04,16,5200.5259998
2012-08-05,16,5483.3299998
2012-08-06,16,5250.2599994
2012-08-07,16,5171.5819999000005
2012-08-08,16,5169.9440003
2012-08-09,16,5183.399001
2012-08-10,16,5163.684999900001
2012-08-11,16,5261.0389986
2012-08-12,16,5462.4200003000005
2012-08-13,16,5171.5460001
2012-08-14,16,5034.4949997
2012-08-15,16,5211.3559996
2012-08-16,16,5057.144999900001
2012-08-17,16,5046.7660008
2012-08-18,16,5349.379000700001
2012-08-19,16,5592.6659994
2012-08-20,16,5277.4160001
2012-08-21,16,5111.7500004
2012-08-22,16,5087.1530001
2012-08-23,16,4995.5529994
2012-08-24,16,5034.245001400001
2012-08-25,16,5303.7710004
2012-08-26,16,5226.4529998
2012-08-27,16,5077.2169992
2012-08-28,16,5061.8730007
2012-08-29,16,5254.3970003
2012-08-30,16,5149.8590004
2012-08-31,16,5022.560999400001
2012-09-01,16,5218.9000003
2012-09-02,16,5572.2169985
2012-09-03,16,5229.5789998
2012-09-04,16,5257.7210007
2012-09-05,16,5126.2969991
2012-09-06,16,5095.1349992000005
2012-09-07,16,5174.5940013
2012-09-08,16,5319.8859998
2012-09-09,16,5450.473000200001
2012-09-10,16,5356.8740005
2012-09-11,16,5203.3629996
2012-09-12,16,5255.9069998
2012-09-13,16,5177.1019998
2012-09-14,16,5201.8320003
2012-09-15,16,5417.4909997
2012-09-16,16,5696.526001
2012-09-17,16,5317.7639995
2012-09-18,16,5291.3210006
2012-09-19,16,5228.455002
2012-09-20,16,5286.2839999
2012-09-21,16,5331.6880002
2012-09-22,16,5620.0720006
2012-09-23,16,6335.0699999
2012-09-24,16,5805.5429998
2012-09-25,16,5526.1740006
2012-09-26,16,5516.3499997
2012-09-27,16,5439.6669994
2012-09-28,16,5517.5779983
2012-09-29,16,5610.2000002
2012-09-30,16,5950.486
2012-10-01,16,5703.3899996
2012-10-02,16,5557.3129996
2012-10-03,16,5697.8380008
2012-10-04,16,5570.1080007
2012-10-05,16,5699.6489996
2012-10-06,16,5888.4439998
2012-10-07,16,6168.0049993
2012-10-08,16,5940.1720014
2012-10-09,16,5777.1169993
2012-10-10,16,5757.3789999
2012-10-11,16,5911.939
2012-10-12,16,5730.3260009000005
2012-10-13,16,6125.9530006
2012-10-14,16,6515.5289989
2012-10-15,16,6017.474999
2012-10-16,16,5424.8840019
2012-10-17,16,5947.7009998
2012-10-18,16,5781.1330008
2012-10-19,16,6149.0019993000005
2012-10-20,16,6385.0490005
2012-10-21,16,6810.4219982
2012-10-22,16,6133.9260015
2012-10-23,16,6131.3969994
2012-10-24,16,5968.7929998
2012-10-25,16,6088.0920008
2012-10-26,16,6417.137001
2012-10-27,16,6688.2369983
2012-10-28,16,7029.9560018
2012-10-29,16,6446.9349992
2012-10-30,16,6335.8570008
2012-10-31,16,6480.917
2012-11-01,16,6159.6929983
2012-11-02,16,6422.7269996
2012-11-03,16,6757.7919994
2012-11-04,16,7362.0629984
2012-11-05,16,6723.4690012
2012-11-06,16,6612.5839991
2012-11-07,16,6603.4329985
2012-11-08,16,6467.115001
2012-11-09,16,6355.6359991
2012-11-10,16,6881.4699999
2012-11-11,16,7082.876
2012-11-12,16,6625.9739999
2012-11-13,16,6262.0690003
2012-11-14,16,6227.4080007
2012-11-15,16,6423.9310007
2012-11-16,16,6432.6160006
2012-11-17,16,6707.9590006
2012-11-18,16,7089.543999500001
2012-11-19,16,6571.103
2012-11-20,16,6513.8690017
2012-11-21,16,6706.0140002
2012-11-22,16,6448.0250007
2012-11-23,16,6356.6590024
2012-11-24,16,7004.8810024
2012-11-25,16,6983.0870006000005
2012-11-26,16,6519.8880005
2012-11-27,16,6525.6480001
2012-11-28,16,6883.1479987
2012-11-29,16,6869.0389993
2012-11-30,16,6933.7159997
2012-12-01,16,7486.5849997000005
2012-12-02,16,7813.3549977
2012-12-03,16,6912.7070004
2012-12-04,16,6994.1849995
2012-12-05,16,7154.8110008
2012-12-06,16,7320.8589973
2012-12-07,16,7153.2750037000005
2012-12-08,16,7246.2749996
2012-12-09,16,7792.2600007
2012-12-10,16,7034.7889998
2012-12-11,16,6623.5109989
2012-12-12,16,6815.8770018000005
2012-12-13,16,7393.5550012
2012-12-14,16,7322.7380009
2012-12-15,16,7215.0870009
2012-12-16,16,7399.5869986
2012-12-17,16,6776.8919985
2012-12-18,16,6855.2010002
2012-12-19,16,6919.1100015
2012-12-20,16,6943.4529985
2012-12-21,16,6541.3449995
2012-12-22,16,7079.7760004
2012-12-23,16,7019.0500005
2012-12-24,16,6570.9419993
2012-12-25,16,7313.709000100001
2012-12-26,16,6635.3150008
2012-12-27,16,6831.0909992
2012-12-28,16,6879.8089989
2012-12-29,16,6902.062999700001
2012-12-30,16,7144.2179999
2012-12-31,16,7132.1229997
2013-01-01,16,7061.4770017
2013-01-02,16,6956.3420001
2013-01-03,16,6827.7530008
2013-01-04,16,6714.703999
2013-01-05,16,6910.1050005
2013-01-06,16,7181.1360005
2013-01-07,16,6830.762998900001
2013-01-08,16,6576.113
2013-01-09,16,6651.7960002
2013-01-10,16,6851.972999600001
2013-01-11,16,6823.8069981
2013-01-12,16,7558.0050001
2013-01-13,16,7734.1209997000005
2013-01-14,16,7249.8460008
2013-01-15,16,7084.9110019
2013-01-16,16,7393.4729992
2013-01-17,16,7358.3349976
2013-01-18,16,7243.0929984
2013-01-19,16,8178.2049996000005
2013-01-20,16,8460.691001000001
2013-01-21,16,7608.805999300001
2013-01-22,16,7520.0929994
2013-01-23,16,7578.9419999
2013-01-24,16,7521.1900000000005
2013-01-25,16,7380.3539999
2013-01-26,16,7280.0189983
2013-01-27,16,7530.8959989
2013-01-28,16,7135.744001200001
2013-01-29,16,6494.6490005000005
2013-01-30,16,6554.3609987
2013-01-31,16,6541.4110012
2013-02-01,16,6589.587001
2013-02-02,16,7107.1900004
2013-02-03,16,7388.4139997
2013-02-04,16,6698.767
2013-02-05,16,6785.2180001
2013-02-06,16,6893.9729964
2013-02-07,16,6915.459998400001
2013-02-08,16,6861.9650010000005
2013-02-09,16,7196.4970004
2013-02-10,16,7611.5160031000005
2013-02-11,16,7105.9360002
2013-02-12,16,7239.1760014
2013-02-13,16,7147.3100001
2013-02-14,16,6902.1630002
2013-02-15,16,6690.1820012
2013-02-16,16,6751.9179995
2013-02-17,16,7103.9619983
2013-02-18,16,6754.1100011
2013-02-19,16,6635.7049982
2013-02-20,16,6916.9510040000005
2013-02-21,16,7121.7799979
2013-02-22,16,7209.6419989000005
2013-02-23,16,7480.2070009
2013-02-24,16,7901.685999
2013-02-25,16,7293.3699996000005
2013-02-26,16,7229.5630006
2013-02-27,16,6827.126999
2013-02-28,16,6731.3050011000005
2013-03-01,16,6860.5239958
2013-03-02,16,7168.2680026
2013-03-03,16,7211.7079984
2013-03-04,16,6409.0289992
2013-03-05,16,6099.6810008
2013-03-06,16,6281.5890001
2013-03-07,16,6309.0040014
2013-03-08,16,6284.6069998
2013-03-09,16,6737.9360012
2013-03-10,16,7386.1759996
2013-03-11,16,7080.3079972
2013-03-12,16,7181.7260014
2013-03-13,16,6872.4520004000005
2013-03-14,16,6783.2050006
2013-03-15,16,6372.4689993
2013-03-16,16,7041.7120031
2013-03-17,16,7257.1940004
2013-03-18,16,6761.7799998
2013-03-19,16,6438.2739976
2013-03-20,16,6653.0459996
2013-03-21,16,6535.7979985
2013-03-22,16,6913.5059987
2013-03-23,16,7427.089000200001
2013-03-24,16,7894.5509998
2013-03-25,16,7210.2300009
2013-03-26,16,7143.0719979000005
2013-03-27,16,6882.457999
2013-03-28,16,6830.2540002000005
2013-03-29,16,7052.7770005
2013-03-30,16,6866.3450017000005
2013-03-31,16,6906.0500006
2013-04-01,16,6859.6819993
2013-04-02,16,6420.4239986
2013-04-03,16,6718.0979995
2013-04-04,16,6578.7050005
2013-04-05,16,6677.9129988
2013-04-06,16,6714.0480009
2013-04-07,16,6788.8689983
2013-04-08,16,6299.8810002
2013-04-09,16,6328.7130028
2013-04-10,16,6153.4249999
2013-04-11,16,6339.7760014000005
2013-04-12,16,6087.825000700001
2013-04-13,16,6186.4739977
2013-04-14,16,6242.3340004
2013-04-15,16,5750.549999
2013-04-16,16,5643.3869998
2013-04-17,16,5478.4149993
2013-04-18,16,5679.8350004
2013-04-19,16,5749.3430004
2013-04-20,16,5936.1799991
2013-04-21,16,6149.4930017
2013-04-22,16,5565.4569991
2013-04-23,16,5358.2820007
2013-04-24,16,5337.3630002
2013-04-25,16,5290.4739995
2013-04-26,16,5412.8719991
2013-04-27,16,5781.4429995
2013-04-28,16,6256.1310004
2013-04-29,16,5602.4060011
2013-04-30,16,5387.2430007
2013-05-01,16,5398.8520001
2013-05-02,16,5309.4529988
2013-05-03,16,5340.547001
2013-05-04,16,5593.3219994
2013-05-05,16,5453.7970009
2013-05-06,16,5437.9219995
2013-05-07,16,5198.298
2013-05-08,16,5344.0490004
2013-05-09,16,5272.5710009
2013-05-10,16,5206.7469994
2013-05-11,16,5637.8630009
2013-05-12,16,6041.600999400001
2013-05-13,16,5355.9569983
2013-05-14,16,5612.0529995
2013-05-15,16,5463.9339999
2013-05-16,16,5262.0389999
2013-05-17,16,5380.7049999
2013-05-18,16,5608.7709999
2013-05-19,16,5770.9929996
2013-05-20,16,5420.8460000000005
2013-05-21,16,5390.5110003
2013-05-22,16,5356.072999
2013-05-23,16,5258.6380005
2013-05-24,16,5488.2590009000005
2013-05-25,16,5492.0650002
2013-05-26,16,5281.7730009
2013-05-27,16,5428.8740002
2013-05-28,16,5379.994
2013-05-29,16,5620.7829982
2013-05-30,16,5513.9580009
2013-05-31,16,5252.6299989
2013-06-01,16,5344.4229993
2013-06-02,16,5507.9330008
2013-06-03,16,5071.854999
2013-06-04,16,4950.2059996
2013-06-05,16,4970.9530013
2013-06-06,16,5028.5200007
2013-06-07,16,4992.9280001
2013-06-08,16,5178.5449996
2013-06-09,16,5643.7270003
2013-06-10,16,5264.6809997
2013-06-11,16,5119.7979994
2013-06-12,16,5294.0840008000005
2013-06-13,16,5234.5639993
2013-06-14,16,5099.3249996
2013-06-15,16,5522.2089998
2013-06-16,16,5556.9119991
2013-06-17,16,5136.0740012
2013-06-18,16,5035.9989988
2013-06-19,16,5025.7270004
2013-06-20,16,5139.0220009
2013-06-21,16,5095.1530008
2013-06-22,16,5358.5120002
2013-06-23,16,5633.8279996
2013-06-24,16,5093.0709998
2013-06-25,16,5013.1950005
2013-06-26,16,4988.639000300001
2013-06-27,16,4939.8189987000005
2013-06-28,16,5016.4780007
2013-06-29,16,5159.529000500001
2013-06-30,16,5338.1859993
2013-07-01,16,5077.8169999
2013-07-02,16,5144.4540002
2013-07-03,16,5084.1249992
2013-07-04,16,5025.8610004
2013-07-05,16,5079.2509991
2013-07-06,16,5234.9459987
2013-07-07,16,5453.8789998
2013-07-08,16,5005.2650001
2013-07-09,16,5029.9179995
2013-07-10,16,4863.0740001
2013-07-11,16,4953.5530008000005
2013-07-12,16,4928.5760015000005
2013-07-13,16,5091.7520004
2013-07-14,16,5410.1820004
2013-07-15,16,5115.0619993
2013-07-16,16,5081.7690001
2013-07-17,16,5197.3619995
