temperatureMax,apparentTemperatureMin,windBearing,dewPoint,cloudCover,windSpeed,temperatureMin,apparentTemperatureMax,pressure,visibility,precipType,humidity,uvIndex,energy_sum,holiday_id,cluster2,cluster3,cluster4,cluster5,cluster6
10.36,2.18,229.0,6.29,0.36,2.04,3.81,10.36,1027.12,8.06,0,0.93,1.0,90.38500010000001,0,1,2,3,4,3
12.93,7.01,204.0,8.56,0.41,4.04,8.56,12.93,1027.22,10.64,0,0.89,1.0,213.41199989999998,0,1,2,3,4,3
13.03,4.84,243.0,7.24,0.48,5.02,7.46,13.03,1024.47,12.38,0,0.79,1.0,303.9929999,0,1,2,3,4,3
12.96,4.69,237.0,6.96,0.44,5.75,7.01,12.96,1025.8,13.07,0,0.81,1.0,420.97599970000005,0,1,2,3,4,3
13.54,2.94,256.0,5.76,0.42,5.48,4.47,13.54,1021.11,13.08,0,0.72,1.0,444.8830006,0,1,2,3,0,3
12.58,1.31,190.0,4.39,0.56,2.34,1.31,12.58,1022.8,11.84,0,0.86,1.0,500.68599980000005,0,1,2,3,0,3
13.47,3.39,213.0,8.61,0.6,6.48,6.37,13.47,1009.7,12.57,0,0.82,1.0,584.3170005,0,1,2,3,4,3
11.87,3.34,205.0,5.26,0.31,4.43,6.34,11.87,1019.43,13.05,0,0.78,1.0,669.827,0,1,2,3,0,3
12.15,5.29,225.0,6.87,0.57,2.57,6.08,12.15,1007.12,12.15,0,0.82,1.0,848.9490005,0,1,2,3,4,3
8.07,0.46,232.0,3.69,0.32,3.0,2.56,5.33,1012.12,11.89,0,0.87,1.0,1014.5910005000001,0,1,2,0,0,3
11.42,4.71,247.0,6.58,0.54,5.42,8.12,11.42,1003.55,12.7,0,0.79,1.0,1185.8300002,0,1,2,3,4,3
9.11,1.03,254.0,4.87,0.36,4.31,4.69,6.66,1001.15,13.36,0,0.82,1.0,1337.9440002000001,0,1,2,0,0,3
6.87,-1.69,254.0,0.84,0.2,5.57,2.81,3.13,1006.01,13.0,0,0.77,1.0,1336.8240004000002,0,1,2,0,0,3
6.91,-1.61,245.0,2.15,0.34,4.79,2.68,3.77,1007.32,13.15,0,0.83,1.0,1540.891,0,1,2,0,0,3
9.02,0.94,263.0,1.79,0.29,7.06,4.91,5.14,1008.76,13.12,0,0.68,1.0,1655.1830005,0,1,2,0,0,3
12.89,0.63,234.0,5.96,0.53,7.01,4.27,12.89,1010.84,12.59,0,0.81,1.0,1924.6999997,0,1,2,3,0,3
7.68,-1.42,255.0,0.41,0.15,5.65,2.03,3.99,1010.6,12.83,0,0.71,1.0,2163.8099997,0,1,2,0,0,3
6.08,-3.42,247.0,-0.34,0.17,3.08,-0.13,3.14,1015.58,12.83,0,0.81,1.0,2539.3939995,0,1,2,0,0,3
8.59,0.11,198.0,4.49,0.56,3.94,2.48,5.72,1007.71,12.09,0,0.88,1.0,2763.5840016,0,1,2,0,0,3
9.82,-0.64,221.0,4.1,0.38,5.02,3.09,5.94,1002.47,12.05,0,0.84,1.0,2581.6229998,0,1,2,0,0,3
12.08,0.22,233.0,3.62,0.42,7.44,4.54,12.08,990.27,12.55,0,0.75,1.0,2678.4680002,0,1,2,0,0,3
5.92,0.78,228.0,1.68,0.36,4.48,4.14,2.88,994.48,13.2,0,0.79,1.0,2875.1240002,0,1,2,0,0,3
7.97,1.07,234.0,2.41,0.42,4.71,4.08,4.38,996.75,12.79,0,0.77,1.0,3101.3840014,0,1,2,0,0,3
4.68,-2.65,315.0,1.6,0.7,3.71,1.8,0.99,988.1,10.96,0,0.88,1.0,3504.5329971,0,1,2,0,0,1
5.35,-3.56,285.0,0.96,0.37,3.99,0.24,1.72,1008.46,11.64,0,0.86,1.0,3783.3509991,0,1,2,0,0,3
5.49,-4.12,289.0,-0.31,0.22,3.6,-0.56,1.98,1016.37,13.04,0,0.84,1.0,4125.0359997,0,1,2,0,0,3
6.64,-3.67,235.0,2.45,0.47,2.7,-0.84,4.02,1014.39,10.43,0,0.94,1.0,4270.0860012,0,1,2,0,0,3
8.26,1.68,279.0,3.64,0.48,4.25,5.66,4.98,1015.09,12.89,0,0.81,1.0,4181.2959978,0,1,2,0,0,3
12.14,3.84,266.0,8.6,0.67,2.9,5.93,12.14,1017.91,9.41,0,0.94,0.0,4239.850999300001,0,1,2,3,4,2
12.14,5.37,257.0,8.07,0.38,4.31,8.08,12.14,1024.71,12.99,0,0.87,1.0,4345.0609986,0,1,2,3,4,3
11.44,0.99,247.0,7.08,0.74,4.85,5.28,11.44,1017.67,12.36,0,0.85,0.0,4632.3860013,0,1,2,3,4,3
8.22,-0.51,252.0,2.79,0.37,4.46,3.17,5.32,1028.17,13.16,0,0.8,1.0,4938.6899995,0,1,2,0,0,3
11.98,5.93,237.0,7.9,0.88,5.81,8.67,11.98,1028.45,13.99,0,0.83,0.0,4894.8839985,0,1,2,3,4,3
12.91,6.91,236.0,8.88,0.81,5.44,9.82,12.91,1033.14,13.23,0,0.84,1.0,4182.7880009,0,1,2,3,4,3
10.33,5.59,225.0,5.47,0.85,3.54,8.03,10.33,1032.76,13.39,0,0.74,0.0,4345.089,0,1,2,3,4,3
11.19,1.84,239.0,4.89,0.46,6.02,5.95,11.19,1021.31,12.83,0,0.77,1.0,4562.9839984,0,1,2,3,0,3
